s,personLabel,paper,roleLabel,event,listAffiliation
person:yong-yu,Yong Yu,iswc2012:paper/poster-demo-12,,,Shanghai Jiao Tong University
person:yong-yu,Yong Yu,iswc2012:paper/poster-demo-27,,,Shanghai Jiao Tong University
person:yong-yu,Yong Yu,iswc2012:paper/research-22,,,Shanghai Jiao Tong University
person:yongchun-xu,Yongchun Xu,iswc2012:paper/poster-demo-18,,,FZI Research Center for Information Technology
person:york-sure-vetter,York Sure-Vetter,,PC Member at ISWC2012(Industry Track),iswc2012:track/industry,GESIS - Leibniz Institute for the Social Sciences; University of Koblenz and Landau
person:york-sure-vetter,York Sure-Vetter,,PC Member at ISWC2012(Research Track),iswc2012:track/research,GESIS - Leibniz Institute for the Social Sciences; University of Koblenz and Landau
person:york-sure-vetter,York Sure-Vetter,,PC Member at ISWC2012,iswc2012:track/semantic-web-challenge,GESIS - Leibniz Institute for the Social Sciences; University of Koblenz and Landau
person:yuan-fang-li,Yuan-Fang Li,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Monash University
person:yuan-fang-li,Yuan-Fang Li,iswc2012:paper/research-36,,,Monash University
person:yuan-ni,Yuan Ni,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,IBM China Research Laboratory
person:yuan-ni,Yuan Ni,,PC Member at ISWC2012(Research Track),iswc2012:track/research,IBM China Research Laboratory
person:yuan-ni,Yuan Ni,iswc2012:paper/poster-demo-27,,,IBM China Research Laboratory
person:yue-ma,Yue Ma,,PC Member at ISWC2012(Poster and Demo),iswc2012:track/poster-demo,LIPN - UMR 7030 Universit Paris 13 - CNRS
person:yuki-yamagata,Yuki Yamagata,iswc2012:paper/poster-demo-51,,,Osaka University
person:yulan-he,Yulan He,iswc2012:paper/research-15,,,"KMi, The Open University"
person:yulan-he,Yulan He,iswc2012:paper/research-40,,,"KMi, The Open University"
person:yunjia-li,Yunjia Li,iswc2012:paper/poster-demo-54,,,University of Southampton
person:yunjia-li,Yunjia Li,iswc2012:paper/semantic-web-challenge-open-15,,,University of Southampton
person:yutaka-matsuo,Yutaka Matsuo,,PC Member at ISWC2012(Research Track),iswc2012:track/research,University of Tokyo
person:yuzhong-qu,Yuzhong Qu,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Nanjing University
person:yves-raimond,Yves Raimond,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,BBC
person:zachary-daniels,Zachary Daniels,iswc2012:paper/semantic-web-challenge-btc-02,,,Lehigh University
person:zhe-wu,Zhe Wu,,PC Member at ISWC2012(Semantic Web In Use Track),iswc2012:track/inuse,Oracle
person:zhe-wu,Zhe Wu,iswc2012:paper/industry-05,,,Oracle
