s,personLabel,paper,roleLabel,event,listAffiliation
person:elizabeth-daly,Elizabeth Daly,iswc2012:paper/semantic-web-challenge-open-18,,,IBM Research
person:emanuele-della-valle,Emanuele Della Valle,iswc2012:paper/inuse-78,,,Politecnico di Milano
person:emanuele-della-valle,Emanuele Della Valle,iswc2012:paper/research-10,,,Politecnico di Milano
person:emanuele-della-valle,Emanuele Della Valle,iswc2012:paper/semantic-web-challenge-open-13,,,Politecnico di Milano
person:emanuele-della-valle,Emanuele Della Valle,iswc2012:paper/semantic-web-challenge-open-19,,,Politecnico di Milano
person:emily-merrill,Emily Merrill,iswc2012:paper/industry-06,,,Massachusetts General Hospital
person:emir-munoz,Emir Muñoz,iswc2012:paper/semantic-web-challenge-btc-03,,,"DERI, NUI Galway"
person:enrico-daga,Enrico Daga,iswc2012:paper/doctor-consortium-11,,,"KMi, The Open University;STLab, ISTC-CNR"
person:enrico-franconi,Enrico Franconi,,PC Member at ISWC2012(Research Track),iswc2012:track/research,Free University of Bozen-Bolzano
person:enrico-franconi,Enrico Franconi,iswc2012:paper/research-17,,,Free University of Bozen-Bolzano
person:enrico-motta,Enrico Motta,iswc2012:paper/poster-demo-39,,,"KMi, The Open University"
